created_date,agency,complaint_type,descriptor,resolution_description
2025-12-28T21:49:23.000,DSNY,Snow or Ice,Sidewalk,The Department of Sanitation investigated this complaint and found no violation at the location.
2025-02-28T21:59:39.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-04-28T23:27:00.000,DOT,Street Light Condition,Street Light Out,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-11-28T23:08:29.000,NYPD,Noise - Street/Sidewalk,Loud Talking,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-01-28T22:38:31.000,DCWP,Consumer Complaint,Pool or Billiard Room,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number."
2025-07-28T22:51:14.000,DOB,Emergency Response Team (ERT),After Hours Work - Illegal,The Department of Buildings investigated this complaint and determined that no further action was necessary.
2025-10-28T23:08:54.000,NYPD,Noise - Residential,Loud Music/Party,This complaint does not fall under the Police Department's jurisdiction.
2025-07-28T23:57:54.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-03-28T22:11:10.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-03-28T23:54:41.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-05-28T23:53:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.
2025-10-28T23:12:54.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,"HPD responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection because the outside temperature was above 55ÃÂ° F; by law, violations can only be issued if the outside temperature is below 55 degrees. No violations were issued. If the temperature inside of your apartment is below 68 degrees when it is below 55 degrees outside between 6 am and 10pm OR the temperature inside of your apartment is below 62 degrees between 10 pm and 6 am, please file a new co"
2025-03-28T22:05:09.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-01-28T22:55:18.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-01-28T21:44:00.000,DEP,Water System,Dirty Water (WE),The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.
2025-08-28T22:49:52.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department issued a summons in response to the complaint.
2025-07-28T22:57:08.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-08-28T22:24:11.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-07-28T23:21:24.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-03-28T22:37:30.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T22:37:03.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-09-28T23:15:22.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T22:32:19.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T21:47:00.000,DEP,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.
2025-11-28T22:31:19.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-01-28T23:00:33.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-03-28T23:55:45.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-08-28T22:40:56.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-07-28T22:00:17.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T21:48:45.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and determined that police action was not necessary.
2025-03-28T22:52:06.000,NYPD,Blocked Driveway,Partial Access,The Police Department reviewed your complaint and provided additional information below.
2025-12-28T23:09:13.000,NYPD,Illegal Parking,Paper License Plates,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-07-28T22:49:53.000,DSNY,Illegal Posting,Poster or Sign,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.
2025-12-28T23:54:08.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.
2025-11-28T23:31:46.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-06-28T23:41:45.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-02-28T23:46:48.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-03-28T23:30:20.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-10-28T23:00:36.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-11-28T21:46:16.000,HPD,GENERAL,CABINET,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-11-28T23:18:45.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-03-28T22:29:34.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-09-28T22:05:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675)."
2025-08-28T23:18:31.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-02-28T23:34:15.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T23:16:42.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T23:38:43.000,HPD,UNSANITARY CONDITION,PESTS,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-07-28T23:47:00.000,DEP,Lead,Lead Kit Request (Residential) (L10),The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.
2025-02-28T22:46:34.000,NYPD,Blocked Driveway,Partial Access,The Police Department issued a summons in response to the complaint.
2025-05-28T23:08:16.000,DSNY,Illegal Dumping,Removal Request,The Department of Sanitation investigated this complaint and issued a Notice of Violation.
2025-04-28T21:53:34.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.
2025-03-28T21:59:00.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-10-28T22:17:50.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-04-28T21:46:11.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T23:23:05.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-08-28T22:23:46.000,DOB,Elevator,Elevator - Multiple Devices On Property,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
2025-10-28T22:08:00.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T22:10:12.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T21:55:11.000,NYPD,Illegal Parking,Unauthorized Bus Layover,The Police Department issued a summons in response to the complaint.
2025-07-28T22:43:18.000,NYPD,Drug Activity,Use Outside,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-05-28T23:47:32.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint."
2025-12-28T22:41:37.000,NYPD,Animal-Abuse,Tortured,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-03-28T21:50:14.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-08-28T23:41:44.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-12-28T21:39:18.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint."
2025-02-28T23:23:41.000,TLC,Taxi Complaint,Driver Complaint - Passenger,"A representative from the Taxi and Limousine Commission (TLC) called and left a message for you and emailed you but has not been able to get in touch with you to confirm the details of your complaint. As a result, the TLC has closed your complaint. If you would like to have your complaint reopened, please call (718) 391-5617."
2025-02-28T22:36:36.000,HPD,PAINT/PLASTER,CEILING,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-03-28T23:18:05.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T22:46:27.000,HPD,UNSANITARY CONDITION,PESTS,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-07-28T22:52:49.000,DSNY,Litter Basket Request,Replacement Basket,A Litter Basket was removed from this location due to household and/or commercial waste being placed in and/or alongside the basket.
2025-09-28T23:06:23.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-11-28T23:31:24.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-05-28T22:47:44.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-12-28T22:15:27.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-01-28T21:45:05.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint."
2025-12-28T21:27:32.000,NYPD,Illegal Parking,Commercial Overnight Parking,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-09-28T22:28:30.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T21:48:14.000,NYPD,Noise - Park,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-11-28T23:35:24.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-04-28T22:30:48.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-12-28T23:36:14.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-06-28T23:25:45.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T23:43:13.000,DOHMH,Mobile Food Vendor,Smoke/Odor,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed."
2025-08-28T22:19:02.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-11-28T22:27:51.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-05-28T22:09:21.000,NYPD,Noise - Vehicle,Car/Truck Horn,The Police Department responded to the complaint and determined that police action was not necessary.
2025-05-28T21:46:00.000,DOT,Traffic Signal Condition,Controller,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-02-28T22:11:19.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-05-28T22:58:27.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T22:58:29.000,DOT,Sidewalk Condition,Broken Sidewalk,The Department of Transportation contacted the customer and resolved the Service Request or provided the information requested.
2025-09-28T22:09:42.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department issued a summons in response to the complaint.
2025-05-28T23:40:11.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-12-28T21:37:00.000,DOT,Street Light Condition,Street Light Out,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-10-28T22:10:24.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T21:48:10.000,HPD,PAINT/PLASTER,WALL,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.
2025-01-28T22:22:27.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and determined that police action was not necessary.
2025-04-28T22:58:59.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-03-28T22:34:50.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T23:20:35.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-04-28T22:28:06.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T23:51:22.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and determined that police action was not necessary.
2025-01-28T23:52:20.000,NYPD,Blocked Driveway,Partial Access,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-03-28T23:08:00.000,DEP,Lead,Lead Kit Request (Residential) (L10),The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.
2025-10-28T22:16:45.000,NYPD,Noise - Vehicle,Car/Truck Horn,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-07-28T22:04:13.000,DOHMH,Asbestos,,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint."
2025-06-28T23:21:11.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-07-28T22:23:10.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.
2025-03-28T23:38:11.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.
2025-08-28T22:57:39.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and determined that police action was not necessary.
2025-07-28T22:11:29.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T21:37:12.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-04-28T21:50:52.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-04-28T23:07:22.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-12-28T23:03:00.000,DOT,Traffic Signal Condition,Controller,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-04-28T22:35:37.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T22:57:38.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-11-28T23:59:19.000,DOB,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,The Department of Buildings investigated this complaint and determined that no further action was necessary.
2025-06-28T23:07:15.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-08-28T22:22:26.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department issued a summons in response to the complaint.
2025-04-28T22:10:46.000,DOT,Street Condition,Plate Condition - Noisy,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs."
2025-07-28T22:05:42.000,HPD,UNSANITARY CONDITION,SEWAGE,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-12-28T22:51:10.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-10-28T23:02:00.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,The Police Department responded to the complaint and took action to fix the condition.
2025-05-28T22:12:07.000,DOHMH,Mobile Food Vendor,Equipment,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed."
2025-02-28T22:17:30.000,NYPD,Illegal Parking,Blocked Crosswalk,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-08-28T22:55:38.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-08-28T23:20:00.000,DOT,Traffic Signal Condition,Controller,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-01-28T23:18:54.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-11-28T23:17:29.000,DOHMH,Smoking or Vaping,Allowed in Smoke Free Area,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed."
2025-09-28T22:23:00.000,DEP,Water System,Hydrant Running Full (WA4),The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.
2025-11-28T21:49:43.000,NYPD,Illegal Parking,Blocked Hydrant,"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-06-28T22:43:58.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-05-28T23:05:38.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T22:51:19.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T22:25:10.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-09-28T22:58:16.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T23:17:07.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T22:18:13.000,DSNY,Dirty Condition,Trash,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.
2025-07-28T21:53:40.000,DOT,Street Condition,Cave-in,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.
2025-03-28T23:37:15.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.
2025-09-28T23:30:49.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-12-28T22:31:27.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-08-28T23:43:02.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T22:35:00.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T22:58:56.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-11-28T23:20:46.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-05-28T21:22:16.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.
2025-07-28T21:49:57.000,DOHMH,Rodent,Rat Sighting,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.
2025-07-28T22:39:56.000,DSNY,Illegal Posting,Poster or Sign,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.
2025-02-28T23:28:11.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-08-28T22:55:19.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-01-28T22:47:25.000,DOT,Street Condition,Plate Condition - Shifted,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs."
2025-11-28T22:53:57.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
